limit = None
------------
984 984 1417402812.078068
1030 46 21.859610080718994
1073 43 130.40891695022583
1108 35 130.28139400482178
1145 37 130.09735989570618
1175 30 127.57136416435242
1205 30 130.61073994636536
1256 51 130.4017689228058
1306 50 129.68815398216248
1345 39 126.88732314109802
1381 36 127.80375599861145
1434 53 129.6297788619995
1487 53 130.53399515151978
1533 46 130.1804940700531
1576 43 130.30826592445374
1610 34 133.81193208694458
1641 31 130.88189888000488
1678 37 130.58509302139282

limit = 100
-----------
